v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,country,substation_lv,substation_off
380.0,,15.413359632298066,47.76156092954459,AC,,,1.0,0.0,inf,Slack,AT0 0 CCGT,0,AT,1.0,1.0
380.0,,11.685983664232605,47.360276990877665,AC,,,1.0,0.0,inf,PQ,,0,AT,1.0,1.0
380.0,,5.5378719571043575,50.49142132132531,AC,,,1.0,0.0,inf,PQ,,0,BE,1.0,1.0
380.0,,4.068883004212194,51.03082328726966,AC,,,1.0,0.0,inf,PQ,,0,BE,1.0,1.0
380.0,,7.133981016470134,46.603511119074334,AC,,,1.0,0.0,inf,PQ,,0,CH,1.0,1.0
380.0,,8.697371212334344,46.912842591549996,AC,,,1.0,0.0,inf,PQ,,0,CH,1.0,1.0
380.0,,16.935731063301073,49.607157219523295,AC,,,1.0,0.0,inf,PQ,,0,CZ,1.0,1.0
380.0,,14.055511693973731,50.04594017428915,AC,,,1.0,0.0,inf,PQ,,0,CZ,1.0,1.0
380.0,,9.690575830893488,53.94599963072771,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,8.88965159613386,48.61167391533222,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,6.974648677316074,49.77592842232104,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,8.606576512706328,49.82809012629092,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,13.986970770085994,51.57602669320789,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,10.638719216611099,50.03757205538962,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,10.435634572638843,48.165397502569455,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,7.0790253889134895,51.35890613739757,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,13.073635595128891,53.091755666319024,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,8.087276583634374,52.94521436980102,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,12.373890697149047,48.582118117576975,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,10.47432575221562,52.21604724692553,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,11.946456820662641,50.963326648883395,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,8.90993414128046,51.73934810913667,AC,,,1.0,0.0,inf,PQ,,0,DE,1.0,1.0
380.0,,9.472863698028016,55.50394822032434,AC,,,1.0,0.0,inf,PQ,,0,DK,1.0,1.0
380.0,,9.961738253855211,56.72778355802998,AC,,,1.0,0.0,inf,PQ,,0,DK,1.0,1.0
380.0,,12.426881962497966,55.5139984132348,AC,,,1.0,0.0,inf,Slack,DK1 0 CCGT,1,DK,1.0,1.0
380.0,,11.314786918874615,55.53177507000618,AC,,,1.0,0.0,inf,PQ,,1,DK,1.0,1.0
380.0,,-0.5267367475462486,41.078846808554275,AC,,,1.0,0.0,inf,PQ,,0,ES,1.0,1.0
380.0,,-5.397690174049194,40.401890948541094,AC,,,1.0,0.0,inf,PQ,,0,ES,1.0,1.0
380.0,,3.039487563189547,39.67375423676344,AC,,,1.0,0.0,inf,Slack,ES6 0 CCGT,2,ES,1.0,1.0
380.0,,2.6204502788095754,39.592920907284025,AC,,,1.0,0.0,inf,PQ,,2,ES,1.0,1.0
380.0,,3.155453589047529,47.06478020161674,AC,,,1.0,0.0,inf,PQ,,0,FR,1.0,1.0
380.0,,9.44998474080447,42.52848560225742,AC,,,1.0,0.0,inf,Slack,,3,FR,1.0,1.0
380.0,,-1.1107939086727954,51.838961178886755,AC,,,1.0,0.0,inf,Slack,GB2 0 CCGT,4,GB,1.0,1.0
380.0,,-2.7391600051152087,54.795645302125294,AC,,,1.0,0.0,inf,PQ,,4,GB,1.0,1.0
380.0,,-6.574255751598738,54.537377833786564,AC,,,1.0,0.0,inf,Slack,GB5 0 CCGT,5,GB,1.0,1.0
380.0,,-5.92226719824316,54.701823647818365,AC,,,1.0,0.0,inf,PQ,,5,GB,1.0,1.0
380.0,,14.656188658702503,40.50533043940641,AC,,,1.0,0.0,inf,PQ,,0,IT,1.0,1.0
380.0,,9.931265846585521,45.299282514065865,AC,,,1.0,0.0,inf,PQ,,0,IT,1.0,1.0
380.0,,8.683812620367629,40.3674859977615,AC,,,1.0,0.0,inf,Slack,IT3 0 biomass,6,IT,1.0,1.0
380.0,,8.865851807161249,39.280048776804804,AC,,,1.0,0.0,inf,PQ,,6,IT,1.0,1.0
380.0,,6.12520922363908,49.87818149890891,AC,,,1.0,0.0,inf,PQ,,0,LU,1.0,1.0
380.0,,6.015088913867944,49.56839689797805,AC,,,1.0,0.0,inf,PQ,,0,LU,1.0,1.0
380.0,,4.48156840200453,52.05967166980381,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
380.0,,6.184046887685243,52.563391005848445,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
380.0,,7.699449287681543,60.44781735686289,AC,,,1.0,0.0,inf,PQ,,1,NO,1.0,1.0
380.0,,15.590707892294702,67.31088707638568,AC,,,1.0,0.0,inf,PQ,,1,NO,1.0,1.0
380.0,,20.35917264158019,51.116236766149534,AC,,,1.0,0.0,inf,PQ,,0,PL,1.0,1.0
380.0,,16.915205308734226,52.49690564851638,AC,,,1.0,0.0,inf,PQ,,0,PL,1.0,1.0
380.0,,17.346160839061003,62.21360391905275,AC,,,1.0,0.0,inf,PQ,,1,SE,1.0,1.0
380.0,,13.677455374014272,57.79572843128245,AC,,,1.0,0.0,inf,PQ,,1,SE,1.0,1.0
1.0,,15.413359632298066,47.76156092954459,H2,,AT0 0,1.0,0.0,inf,PQ,,7,AT,,
1.0,,11.685983664232605,47.360276990877665,H2,,AT0 1,1.0,0.0,inf,PQ,,8,AT,,
1.0,,5.5378719571043575,50.49142132132531,H2,,BE0 0,1.0,0.0,inf,PQ,,9,BE,,
1.0,,4.068883004212194,51.03082328726966,H2,,BE0 1,1.0,0.0,inf,PQ,,10,BE,,
1.0,,7.133981016470134,46.603511119074334,H2,,CH0 0,1.0,0.0,inf,PQ,,11,CH,,
1.0,,8.697371212334344,46.912842591549996,H2,,CH0 1,1.0,0.0,inf,PQ,,12,CH,,
1.0,,16.935731063301073,49.607157219523295,H2,,CZ0 0,1.0,0.0,inf,PQ,,13,CZ,,
1.0,,14.055511693973731,50.04594017428915,H2,,CZ0 1,1.0,0.0,inf,PQ,,14,CZ,,
1.0,,9.690575830893488,53.94599963072771,H2,,DE0 0,1.0,0.0,inf,PQ,,15,DE,,
1.0,,8.88965159613386,48.61167391533222,H2,,DE0 1,1.0,0.0,inf,PQ,,16,DE,,
1.0,,6.974648677316074,49.77592842232104,H2,,DE0 10,1.0,0.0,inf,PQ,,17,DE,,
1.0,,8.606576512706328,49.82809012629092,H2,,DE0 11,1.0,0.0,inf,PQ,,18,DE,,
1.0,,13.986970770085994,51.57602669320789,H2,,DE0 12,1.0,0.0,inf,PQ,,19,DE,,
1.0,,10.638719216611099,50.03757205538962,H2,,DE0 13,1.0,0.0,inf,PQ,,20,DE,,
1.0,,10.435634572638843,48.165397502569455,H2,,DE0 2,1.0,0.0,inf,PQ,,21,DE,,
1.0,,7.0790253889134895,51.35890613739757,H2,,DE0 3,1.0,0.0,inf,PQ,,22,DE,,
1.0,,13.073635595128891,53.091755666319024,H2,,DE0 4,1.0,0.0,inf,PQ,,23,DE,,
1.0,,8.087276583634374,52.94521436980102,H2,,DE0 5,1.0,0.0,inf,PQ,,24,DE,,
1.0,,12.373890697149047,48.582118117576975,H2,,DE0 6,1.0,0.0,inf,PQ,,25,DE,,
1.0,,10.47432575221562,52.21604724692553,H2,,DE0 7,1.0,0.0,inf,PQ,,26,DE,,
1.0,,11.946456820662641,50.963326648883395,H2,,DE0 8,1.0,0.0,inf,PQ,,27,DE,,
1.0,,8.90993414128046,51.73934810913667,H2,,DE0 9,1.0,0.0,inf,PQ,,28,DE,,
1.0,,9.472863698028016,55.50394822032434,H2,,DK0 0,1.0,0.0,inf,PQ,,29,DK,,
1.0,,9.961738253855211,56.72778355802998,H2,,DK0 1,1.0,0.0,inf,PQ,,30,DK,,
1.0,,12.426881962497966,55.5139984132348,H2,,DK1 0,1.0,0.0,inf,PQ,,31,DK,,
1.0,,11.314786918874615,55.53177507000618,H2,,DK1 1,1.0,0.0,inf,PQ,,32,DK,,
1.0,,-0.5267367475462486,41.078846808554275,H2,,ES0 0,1.0,0.0,inf,PQ,,33,ES,,
1.0,,-5.397690174049194,40.401890948541094,H2,,ES0 1,1.0,0.0,inf,PQ,,34,ES,,
1.0,,3.039487563189547,39.67375423676344,H2,,ES6 0,1.0,0.0,inf,PQ,,35,ES,,
1.0,,2.6204502788095754,39.592920907284025,H2,,ES6 1,1.0,0.0,inf,PQ,,36,ES,,
1.0,,3.155453589047529,47.06478020161674,H2,,FR0 0,1.0,0.0,inf,PQ,,37,FR,,
1.0,,9.44998474080447,42.52848560225742,H2,,FR4 0,1.0,0.0,inf,PQ,,38,FR,,
1.0,,-1.1107939086727954,51.838961178886755,H2,,GB2 0,1.0,0.0,inf,PQ,,39,GB,,
1.0,,-2.7391600051152087,54.795645302125294,H2,,GB2 1,1.0,0.0,inf,PQ,,40,GB,,
1.0,,-6.574255751598738,54.537377833786564,H2,,GB5 0,1.0,0.0,inf,PQ,,41,GB,,
1.0,,-5.92226719824316,54.701823647818365,H2,,GB5 1,1.0,0.0,inf,PQ,,42,GB,,
1.0,,14.656188658702503,40.50533043940641,H2,,IT0 0,1.0,0.0,inf,PQ,,43,IT,,
1.0,,9.931265846585521,45.299282514065865,H2,,IT0 1,1.0,0.0,inf,PQ,,44,IT,,
1.0,,8.683812620367629,40.3674859977615,H2,,IT3 0,1.0,0.0,inf,PQ,,45,IT,,
1.0,,8.865851807161249,39.280048776804804,H2,,IT3 1,1.0,0.0,inf,PQ,,46,IT,,
1.0,,6.12520922363908,49.87818149890891,H2,,LU0 0,1.0,0.0,inf,PQ,,47,LU,,
1.0,,6.015088913867944,49.56839689797805,H2,,LU0 1,1.0,0.0,inf,PQ,,48,LU,,
1.0,,4.48156840200453,52.05967166980381,H2,,NL0 0,1.0,0.0,inf,PQ,,49,NL,,
1.0,,6.184046887685243,52.563391005848445,H2,,NL0 1,1.0,0.0,inf,PQ,,50,NL,,
1.0,,7.699449287681543,60.44781735686289,H2,,NO1 0,1.0,0.0,inf,PQ,,51,NO,,
1.0,,15.590707892294702,67.31088707638568,H2,,NO1 1,1.0,0.0,inf,PQ,,52,NO,,
1.0,,20.35917264158019,51.116236766149534,H2,,PL0 0,1.0,0.0,inf,PQ,,53,PL,,
1.0,,16.915205308734226,52.49690564851638,H2,,PL0 1,1.0,0.0,inf,PQ,,54,PL,,
1.0,,17.346160839061003,62.21360391905275,H2,,SE1 0,1.0,0.0,inf,PQ,,55,SE,,
1.0,,13.677455374014272,57.79572843128245,H2,,SE1 1,1.0,0.0,inf,PQ,,56,SE,,
1.0,,15.413359632298066,47.76156092954459,battery,,AT0 0,1.0,0.0,inf,PQ,,57,AT,,
1.0,,11.685983664232605,47.360276990877665,battery,,AT0 1,1.0,0.0,inf,PQ,,58,AT,,
1.0,,5.5378719571043575,50.49142132132531,battery,,BE0 0,1.0,0.0,inf,PQ,,59,BE,,
1.0,,4.068883004212194,51.03082328726966,battery,,BE0 1,1.0,0.0,inf,PQ,,60,BE,,
1.0,,7.133981016470134,46.603511119074334,battery,,CH0 0,1.0,0.0,inf,PQ,,61,CH,,
1.0,,8.697371212334344,46.912842591549996,battery,,CH0 1,1.0,0.0,inf,PQ,,62,CH,,
1.0,,16.935731063301073,49.607157219523295,battery,,CZ0 0,1.0,0.0,inf,PQ,,63,CZ,,
1.0,,14.055511693973731,50.04594017428915,battery,,CZ0 1,1.0,0.0,inf,PQ,,64,CZ,,
1.0,,9.690575830893488,53.94599963072771,battery,,DE0 0,1.0,0.0,inf,PQ,,65,DE,,
1.0,,8.88965159613386,48.61167391533222,battery,,DE0 1,1.0,0.0,inf,PQ,,66,DE,,
1.0,,6.974648677316074,49.77592842232104,battery,,DE0 10,1.0,0.0,inf,PQ,,67,DE,,
1.0,,8.606576512706328,49.82809012629092,battery,,DE0 11,1.0,0.0,inf,PQ,,68,DE,,
1.0,,13.986970770085994,51.57602669320789,battery,,DE0 12,1.0,0.0,inf,PQ,,69,DE,,
1.0,,10.638719216611099,50.03757205538962,battery,,DE0 13,1.0,0.0,inf,PQ,,70,DE,,
1.0,,10.435634572638843,48.165397502569455,battery,,DE0 2,1.0,0.0,inf,PQ,,71,DE,,
1.0,,7.0790253889134895,51.35890613739757,battery,,DE0 3,1.0,0.0,inf,PQ,,72,DE,,
1.0,,13.073635595128891,53.091755666319024,battery,,DE0 4,1.0,0.0,inf,PQ,,73,DE,,
1.0,,8.087276583634374,52.94521436980102,battery,,DE0 5,1.0,0.0,inf,PQ,,74,DE,,
1.0,,12.373890697149047,48.582118117576975,battery,,DE0 6,1.0,0.0,inf,PQ,,75,DE,,
1.0,,10.47432575221562,52.21604724692553,battery,,DE0 7,1.0,0.0,inf,PQ,,76,DE,,
1.0,,11.946456820662641,50.963326648883395,battery,,DE0 8,1.0,0.0,inf,PQ,,77,DE,,
1.0,,8.90993414128046,51.73934810913667,battery,,DE0 9,1.0,0.0,inf,PQ,,78,DE,,
1.0,,9.472863698028016,55.50394822032434,battery,,DK0 0,1.0,0.0,inf,PQ,,79,DK,,
1.0,,9.961738253855211,56.72778355802998,battery,,DK0 1,1.0,0.0,inf,PQ,,80,DK,,
1.0,,12.426881962497966,55.5139984132348,battery,,DK1 0,1.0,0.0,inf,PQ,,81,DK,,
1.0,,11.314786918874615,55.53177507000618,battery,,DK1 1,1.0,0.0,inf,PQ,,82,DK,,
1.0,,-0.5267367475462486,41.078846808554275,battery,,ES0 0,1.0,0.0,inf,PQ,,83,ES,,
1.0,,-5.397690174049194,40.401890948541094,battery,,ES0 1,1.0,0.0,inf,PQ,,84,ES,,
1.0,,3.039487563189547,39.67375423676344,battery,,ES6 0,1.0,0.0,inf,PQ,,85,ES,,
1.0,,2.6204502788095754,39.592920907284025,battery,,ES6 1,1.0,0.0,inf,PQ,,86,ES,,
1.0,,3.155453589047529,47.06478020161674,battery,,FR0 0,1.0,0.0,inf,PQ,,87,FR,,
1.0,,9.44998474080447,42.52848560225742,battery,,FR4 0,1.0,0.0,inf,PQ,,88,FR,,
1.0,,-1.1107939086727954,51.838961178886755,battery,,GB2 0,1.0,0.0,inf,PQ,,89,GB,,
1.0,,-2.7391600051152087,54.795645302125294,battery,,GB2 1,1.0,0.0,inf,PQ,,90,GB,,
1.0,,-6.574255751598738,54.537377833786564,battery,,GB5 0,1.0,0.0,inf,PQ,,91,GB,,
1.0,,-5.92226719824316,54.701823647818365,battery,,GB5 1,1.0,0.0,inf,PQ,,92,GB,,
1.0,,14.656188658702503,40.50533043940641,battery,,IT0 0,1.0,0.0,inf,PQ,,93,IT,,
1.0,,9.931265846585521,45.299282514065865,battery,,IT0 1,1.0,0.0,inf,PQ,,94,IT,,
1.0,,8.683812620367629,40.3674859977615,battery,,IT3 0,1.0,0.0,inf,PQ,,95,IT,,
1.0,,8.865851807161249,39.280048776804804,battery,,IT3 1,1.0,0.0,inf,PQ,,96,IT,,
1.0,,6.12520922363908,49.87818149890891,battery,,LU0 0,1.0,0.0,inf,PQ,,97,LU,,
1.0,,6.015088913867944,49.56839689797805,battery,,LU0 1,1.0,0.0,inf,PQ,,98,LU,,
1.0,,4.48156840200453,52.05967166980381,battery,,NL0 0,1.0,0.0,inf,PQ,,99,NL,,
1.0,,6.184046887685243,52.563391005848445,battery,,NL0 1,1.0,0.0,inf,PQ,,100,NL,,
1.0,,7.699449287681543,60.44781735686289,battery,,NO1 0,1.0,0.0,inf,PQ,,101,NO,,
1.0,,15.590707892294702,67.31088707638568,battery,,NO1 1,1.0,0.0,inf,PQ,,102,NO,,
1.0,,20.35917264158019,51.116236766149534,battery,,PL0 0,1.0,0.0,inf,PQ,,103,PL,,
1.0,,16.915205308734226,52.49690564851638,battery,,PL0 1,1.0,0.0,inf,PQ,,104,PL,,
1.0,,17.346160839061003,62.21360391905275,battery,,SE1 0,1.0,0.0,inf,PQ,,105,SE,,
1.0,,13.677455374014272,57.79572843128245,battery,,SE1 1,1.0,0.0,inf,PQ,,106,SE,,
